Axis 1,Axis 2,Continents
Poland,Warsaw,Europe
Portugal,Lisbon,Europe
Romania,Bucharest,Europe
San Marino,San Marino,Europe
Serbia,Belgrade,Europe
Slovakia,Bratislava,Europe
Slovenia,Ljubljana,Europe
Spain,Madrid,Europe
Sweden,Stockholm,Europe
Switzerland,Bern,Europe
Turkey,Ankara,Europe
Ukraine,Kiev,Europe
United Kingdom,London,Europe
Vatican City,Vatican City,Europe
Afghanistan,Kabul,Asia
Armenia,Yerevan,Asia
Azerbaijan,Baku,Asia
Bahrain,Manama,Asia
Bangladesh,Dhaka,Asia
Bhutan,Thimphu,Asia
Brunei,Bandar Seri Begawan,Asia
Cambodia,Phnom Penh,Asia
China,Beijing,Asia
East Timor,Dili,Asia
Georgia,Tbilisi,Asia
India,New Delhi,Asia
Indonesia,Jakarta,Asia
Iran,Tehran,Asia
Iraq,Baghdad,Asia
Israel,Jerusalem,Asia
Japan,Tokyo,Asia
Jordan,Amman,Asia
Kazakhstan,Astana,Asia
Kuwait,Kuwait,Asia
Kyrgyzstan,Bishkek,Asia
Laos,Vientiane,Asia
Lebanon,Beirut,Asia
Malaysia,Kuala Lumpur,Asia
Maldives,Male,Asia
Mongolia,Ulaanbaatar,Asia
Myanmar,Naypydaw,Asia
Nepal,Kathmandu,Asia
North Korea,Pyongyang,Asia
Oman,Muscat,Asia
Pakistan,Islamabad,Asia
Papua New Guinea,Port Moresby,Asia
Philippines,Manila,Asia
Qatar,Doha,Asia
Russia,Moscow,Asia
Saudi Arabia,Riyadh,Asia
Singapore,Singapore,Asia
South Korea,Seoul,Asia
Sri Lanka,Colombo,Asia
Syria,Damascus,Asia
Taiwan,Taipei,Asia
Tajikistan,Dushanbe,Asia
Thailand,Bangkok,Asia
Turkmenistan,Ashgabat,Asia
United Arab Emirates,Abu Dhabi,Asia
Uzbekistan,Tashkent,Asia
Vietnam,Hanoi,Asia
Yemen,Sanaa,Asia
Algeria,Algiers,Africa
Angola,Luanda,Africa
Benin,Porto-Novo,Africa
Botswana,Gaborone,Africa
Burkina Faso,Ouagadougou,Africa
Burundi,Bujumbura,Africa
Cameroon,Yaounde,Africa
Cape Verde,Praia,Africa
Central African Republic,Bangui,Africa
Chad,N'Djamena,Africa
Comoros,Moroni,Africa
Cote d'Ivoire,Yamoussoukro,Africa
Democratic Republic of the Congo,Kinshasa,Africa
Djibouti,Djibouti,Africa
Egypt,Cairo,Africa
Equatorial Guinea,Malabo,Africa
Eritrea,Asmara,Africa
Ethiopia,Addis Ababa,Africa
Gabon,Libreville,Africa
Gambia,Banjul,Africa
Ghana,Accra,Africa
Guinea,Conakry,Africa
Guinea-Bissau,Bissau,Africa
Kenya,Nairobi,Africa
Lesotho,Maseru,Africa
Liberia,Monrovia,Africa
Libya,Tripoli,Africa
Madagascar,Antananarivo,Africa
Malawi,Lilongwe,Africa
Mali,Bamako,Africa
Mauritania,Nouakchott,Africa
Mauritius,Port Louis,Africa
Morocco,Rabat,Africa
Mozambique,Maputo,Africa
Namibia,Windhoek,Africa
Niger,Niamey,Africa
Nigeria,Abuja,Africa
Republic of the Congo,Brazzaville,Africa
Rwanda,Kigali,Africa
Sao Tome and Principe,Sao Tome,Africa
Senegal,Dakar,Africa
Seychelles,Victoria,Africa
Sierra Leone,Freetown,Africa
Somalia,Mogadishu,Africa
South Africa,Pretoria,Africa
South Sudan,Juba,Africa
Sudan,Khartoum,Africa
Swaziland,Dodoma,Africa
Tanzania,Dodoma,Africa
Togo,Lome,Africa
Tunisia,Tunis,Africa
Uganda,Kampala,Africa
Zambia,Lusaka,Africa
Zimbabwe,Harare,Africa
Australia,Canberra,Oceania
Fiji,Suva,Oceania
Kiribati,Tarawa,Oceania
Marshall Islands,Majuro,Oceania
Micronesia,Palikir,Oceania
Nauru,Yaren,Oceania
Palau,Melekeok,Oceania
Samoa,Apia,Oceania
Solomon Islands,Honiara,Oceania
Tonga,Nuku'alofa,Oceania
Tuvalu,Funafuti,Oceania
Vanuatu,Port-Vila,Oceania
